course_code,facility_code,course_name,hol,par,course_type,course_architect,open_date,guest_policy,weekday_price,weekend_price,twilight_price,fairway,green,currency
USA-AL-00060-01,USA-AL-00060,Emerald Mountain,18,72,Parkland,Ward Northrup,2000,Open,35,45,45,N/D,N/D,USD
USA-AL-00061-01,USA-AL-00061,Enterprise,18,72,Parkland,Ken Pittman,1960,Closed,~,~,~,N/D,N/D,USD
USA-AL-00062-01,USA-AL-00062,Eufaula,18,72,Parkland,N/D,1989,Closed,~,~,~,N/D,N/D,USD
USA-AL-00063-01,USA-AL-00063,Evans Barnes,18,72,Parkland,Evans Barnes,1977,Open,23,23,23,N/D,N/D,USD
USA-AL-00064-01,USA-AL-00064,Evergreen,9,36,Parkland,N/D,1921,Closed,~,~,~,N/D,N/D,USD
USA-AL-00065-01,USA-AL-00065,Farmlinks at Pursell Farms,18,72,Parkland,Michael Hurdzan Dana Fry,2003,Open,125,149,149,N/D,N/D,USD
USA-AL-00066-01,USA-AL-00066,Florence,18,71,Parkland,Chris Burns,1933,Closed,~,~,~,N/D,N/D,USD
USA-AL-00067-01,USA-AL-00067,Fox Run,18,72,Parkland,Robin Naway,1997,Open,15,17,17,N/D,N/D,USD
USA-AL-00068-01,USA-AL-00068,Frank House Municipal,18,72,Parkland,Earl Stone,1972,Open,25,25,20,N/D,N/D,USD
USA-AL-00069-01,USA-AL-00069,Gadsden,18,71,Parkland,N/D,1919,Closed,~,~,~,N/D,N/D,USD
USA-AL-00070-01,USA-AL-00070,Vista 9,9,36,Parkland,Bruce Devlin,1984,Open,65,65,65,N/D,N/D,USD
USA-AL-00070-02,USA-AL-00070,Dunes 9,9,36,Parkland,Bruce Devlin,1984,Open,65,65,65,N/D,N/D,USD
USA-AL-00070-03,USA-AL-00070,Lakes 9,9,35,Parkland,Bruce Devlin,1984,Open,65,65,65,N/D,N/D,USD
USA-AL-00071-01,USA-AL-00071,Course at Cumberland Lake,18,72,Parkland,Bill Amick,1968,Closed,30,35,29,N/D,N/D,USD
USA-AL-00072-01,USA-AL-00072,The Wharf,18,71,Parkland,Jay & Carter Morrish,2007,Open,59,82,82,N/D,N/D,USD
USA-AL-00073-01,USA-AL-00073,Colony,18,72,Parkland,George Cobb,1972,Open,38,44,31,N/D,N/D,USD
USA-AL-00073-02,USA-AL-00073,The Plantation,18,72,Parkland,George Cobb,1972,Open,38,44,31,N/D,N/D,USD
USA-AL-00074-01,USA-AL-00074,Grayson Valley,18,72,Parkland,Harold Williams,1976,Closed,46,51,51,N/D,N/D,USD
