tee_id,course_code,tee_name,tee_color,course_par_for_tee,hole1,hole2,hole3,hole4,hole5,hole6,hole7,hole8,hole9,hole10,hole11,hole12,hole13,hole14,hole15,hole16,hole17,hole18,total_distance,hole1_par,hole2_par,hole3_par,hole4_par,hole5_par,hole6_par,hole7_par,hole8_par,hole9_par,hole10_par,hole11_par,hole12_par,hole13_par,hole14_par,hole15_par,hole16_par,hole17_par,hole18_par,hole1_handicap,hole2_handicap,hole3_handicap,hole4_handicap,hole5_handicap,hole6_handicap,hole7_handicap,hole8_handicap,hole9_handicap,hole10_handicap,hole11_handicap,hole12_handicap,hole13_handicap,hole14_handicap,hole15_handicap,hole16_handicap,hole17_handicap,hole18_handicap,rating,slope,,,
USA-FL-00011-01-01,USA-FL-00011-01,Gold,Gold,72,529,407,219,401,158,494,373,401,433,403,514,350,361,342,160,148,390,484,6567,5,4,3,4,3,5,4,4,4,4,5,4,4,4,3,3,4,5,7,11,15,1,17,9,5,13,7,2,4,12,6,14,16,18,10,8,72.2,136,,,
USA-FL-00011-01-02,USA-FL-00011-01,Blue,Blue,72,492,359,186,373,143,455,344,372,391,388,499,325,346,326,143,141,373,474,6130,5,4,3,4,3,5,4,4,4,4,5,4,4,4,3,3,4,5,7,11,15,1,17,9,5,13,7,2,4,12,6,14,16,18,10,8,70.3,130,,,
USA-FL-00011-01-03,USA-FL-00011-01,Blue/White,Turquoise,72,492,359,164,338,143,455,332,372,380,338,499,325,322,326,143,141,342,474,5945,5,4,3,4,3,5,4,4,4,4,5,4,4,4,3,3,4,5,3,11,15,1,17,9,13,5,3,4,2,14,6,12,16,18,10,8,69.4,129,,,
USA-FL-00011-01-04,USA-FL-00011-01,White,White,72,442,328,164,338,125,413,332,288,380,338,460,291,322,310,131,131,342,427,5562,5,4,3,4,3,5,4,4,4,4,5,4,4,4,3,3,4,5,3,11,15,1,17,9,13,5,3,4,2,14,6,12,16,18,10,8,67.7,119,,,
USA-FL-00011-01-05,USA-FL-00011-01,Red/White,Pink,72,442,275,140,306,107,356,274,263,380,338,419,226,322,271,131,107,342,384,5083,5,4,3,4,3,5,4,4,4,4,5,4,4,4,3,3,4,5,1,13,15,3,17,11,9,7,5,4,2,14,10,12,16,18,8,6,70.0,128,,,
USA-FL-00011-01-06,USA-FL-00011-01,Red,Red,72,434,275,140,306,107,356,274,263,313,298,419,226,268,271,123,107,299,384,4863,5,4,3,4,3,5,4,4,4,4,5,4,4,4,3,3,4,5,1,13,15,3,17,11,9,7,5,4,2,14,10,12,16,18,8,6,69.0,121,,,
USA-FL-00011-02-01,USA-FL-00011-02,Gold,Gold,72,431,540,317,169,397,428,184,342,527,307,500,193,359,401,377,171,441,523,6607,4,5,4,3,4,4,3,4,5,4,5,3,4,4,4,3,4,5,2,8,18,16,14,4,12,6,10,17,3,7,13,5,9,15,1,11,72.4,134,,,
USA-FL-00011-02-02,USA-FL-00011-02,Blue,Blue,72,396,506,301,155,351,382,147,329,494,280,480,171,287,362,351,167,407,502,6068,4,5,4,3,4,4,3,4,5,4,5,3,4,4,4,3,4,5,2,8,18,16,14,4,12,6,10,17,3,7,13,5,9,15,1,11,69.8,124,,,
USA-FL-00011-02-03,USA-FL-00011-02,White,White,72,340,465,293,150,345,355,140,273,437,275,459,138,280,350,330,130,333,467,5560,4,5,4,3,4,4,3,4,5,4,5,3,4,4,4,3,4,5,2,8,18,16,14,4,12,6,10,17,3,7,13,5,9,15,1,11,67.8,120,,,
USA-FL-00011-02-04,USA-FL-00011-02,White (Ladies),White,72,340,465,293,150,345,355,140,273,437,275,459,138,280,350,330,130,333,467,5560,4,5,4,3,4,4,3,4,5,4,5,3,4,4,4,3,4,5,4,6,18,16,14,8,12,2,10,15,5,9,13,11,17,7,3,1,73.3,129,,,
USA-FL-00011-02-05,USA-FL-00011-02,Red,Red,72,322,453,264,113,289,260,84,268,432,270,437,129,263,312,268,110,291,418,4983,4,5,4,3,4,4,3,4,5,4,5,3,4,4,4,3,4,5,4,6,18,16,14,8,12,2,10,15,5,9,13,11,17,7,3,1,69.0,122,,,
USA-FL-00011-03-01,USA-FL-00011-03,Gold,Gold,70,296,418,397,347,152,178,498,177,537,369,543,291,211,414,187,430,528,135,6108,4,4,4,4,3,3,5,3,5,4,5,4,3,4,3,4,5,3,16,4,8,10,18,14,2,12,6,13,5,15,7,9,11,1,3,17,68.9,133,,,
USA-FL-00011-03-02,USA-FL-00011-03,Blue,Blue,70,294,364,351,323,137,133,477,141,494,348,492,267,195,377,161,411,494,125,5584,4,4,4,4,3,3,5,3,5,4,5,4,3,4,3,4,5,3,16,4,8,10,18,14,2,12,6,13,5,15,7,9,11,1,3,17,66.6,126,,,
USA-FL-00011-03-03,USA-FL-00011-03,White,White,70,259,356,322,236,131,129,466,131,442,297,471,251,157,355,149,329,421,105,5007,4,4,4,4,3,3,5,3,5,4,5,4,3,4,3,4,5,3,16,4,8,10,18,14,2,12,6,13,5,15,7,9,11,1,3,17,64.5,114,,,
USA-FL-00011-03-04,USA-FL-00011-03,White (L),White,70,259,356,322,236,131,129,466,131,442,297,471,251,157,355,149,329,421,105,5007,4,4,4,4,3,3,5,3,5,4,5,4,3,4,3,4,5,3,10,12,4,18,8,14,2,16,6,11,9,15,13,3,7,1,5,17,69.2,126,,,
USA-FL-00011-03-05,USA-FL-00011-03,Red,Red,70,228,284,309,224,115,97,411,108,401,261,389,216,109,304,108,278,408,91,4341,4,4,4,4,3,3,5,3,5,4,5,4,3,4,3,4,5,3,10,12,4,18,8,14,2,16,6,11,9,15,13,3,7,1,5,17,65.7,113,,,
USA-IL-00134-01-01,USA-IL-00134-01,Black,Black,72,369,533,446,204,508,353,402,165,397,329,533,413,185,433,566,180,439,420,6875,4,5,4,3,5,4,4,3,4,4,5,4,3,4,5,3,4,4,15,5,1,9,11,13,7,17,3,18,8,10,16,6,4,12,2,14,73.2,132,,,
USA-IL-00134-01-02,USA-IL-00134-01,Gold,Gold,72,347,501,416,182,482,333,357,147,377,314,527,390,146,383,529,159,411,385,6386,4,5,4,3,5,4,4,3,4,4,5,4,3,4,5,3,4,4,15,5,1,9,11,13,7,17,3,18,8,10,16,6,4,12,2,14,70.9,127,,,
USA-IL-00134-01-03,USA-IL-00134-01,Jade,Green,72,313,429,383,145,457,287,318,129,357,272,418,326,114,294,483,133,372,348,5578,4,5,4,3,5,4,4,3,4,4,5,4,3,4,5,3,4,4,11,5,3,17,7,15,9,13,1,18,8,10,16,6,2,12,4,14,72.1,125,,,
USA-IL-00134-02-01,USA-IL-00134-02,Black,Black,72,386,541,147,339,420,505,174,361,402,440,512,348,214,382,469,557,159,406,6762,4,5,3,4,4,5,3,4,4,4,5,4,3,4,4,5,3,4,14,4,18,10,8,12,16,6,2,1,13,11,15,9,3,7,17,5,72.7,134,,,
USA-IL-00134-02-02,USA-IL-00134-02,Gold,Gold,72,359,522,136,325,401,493,162,348,380,408,481,327,186,364,429,535,133,372,6361,4,5,3,4,4,5,3,4,4,4,5,4,3,4,4,5,3,4,14,4,18,10,8,12,16,6,2,1,13,11,15,9,3,7,17,5,70.9,130,,,
USA-IL-00134-02-03,USA-IL-00134-02,Jade,Green,72,321,488,105,292,356,449,131,307,341,357,426,284,143,328,370,463,107,341,5609,4,5,3,4,4,5,3,4,4,4,5,4,3,4,4,5,3,4,16,4,18,12,8,6,14,10,2,1,11,15,9,13,5,3,17,7,72.3,129,,,
USA-IL-00134-03-01,USA-IL-00134-03,Black,Black,34,357,150,282,322,500,153,402,149,333,~,~,~,~,~,~,~,~,~,2648,4,3,4,4,5,3,4,3,4,~,~,~,~,~,~,~,~,~,3,6,7,4,2,8,1,9,5,~,~,~,~,~,~,~,~,~,33.2,117,,,
USA-IL-00134-03-02,USA-IL-00134-03,Gold,Gold,34,342,131,267,311,466,134,376,124,310,~,~,~,~,~,~,~,~,~,2461,4,3,4,4,5,3,4,3,4,~,~,~,~,~,~,~,~,~,3,6,7,4,2,8,1,9,5,~,~,~,~,~,~,~,~,~,32.2,114,,,
USA-IL-00134-03-03,USA-IL-00134-03,Jade,Green,34,314,114,238,291,438,121,343,104,292,~,~,~,~,~,~,~,~,~,2255,4,3,4,4,5,3,4,3,4,~,~,~,~,~,~,~,~,~,3,6,7,4,2,8,1,9,5,~,~,~,~,~,~,~,~,~,33.3,119,,,
USA-IL-00134-04-01,USA-IL-00134-04,4 Stars,Black,72,407,549,180,376,437,505,193,372,410,396,163,499,442,357,197,398,407,532,6820,4,5,3,4,4,5,3,4,4,4,3,5,4,4,3,4,4,5,10,8,18,14,2,6,12,16,4,5,17,13,1,15,9,11,3,7,73.8,141,,,
USA-IL-00134-04-02,USA-IL-00134-04,3 Stars,Blue,72,378,528,143,354,418,479,173,351,390,361,152,466,423,341,189,380,398,510,6434,4,5,3,4,4,5,3,4,4,4,3,5,4,4,3,4,4,5,10,8,18,14,2,6,12,16,4,5,17,13,1,15,9,11,3,7,71.9,136,,,
USA-IL-00134-04-03,USA-IL-00134-04,2 Stars,White,72,346,501,133,325,396,459,124,325,376,354,141,444,383,339,168,354,367,471,6008,4,5,3,4,4,5,3,4,4,4,3,5,4,4,3,4,4,5,10,8,18,14,2,6,12,16,4,5,17,13,1,15,9,11,3,7,69.7,131,,,
USA-IL-00134-04-04,USA-IL-00134-04,2 Stars (L),White,72,346,501,133,325,396,459,124,325,376,354,141,444,383,339,168,354,367,471,6008,4,5,3,4,4,5,3,4,4,4,3,5,4,4,3,4,4,5,10,8,18,14,2,6,12,16,4,5,17,13,1,15,9,11,3,7,74.9,135,,,
USA-IL-00134-04-05,USA-IL-00134-04,1 Star,Red,72,285,452,106,298,350,436,108,300,315,326,100,410,346,313,147,305,323,417,5337,4,5,3,4,4,5,3,4,4,4,3,5,4,4,3,4,4,5,10,8,18,14,2,6,12,16,4,5,17,13,1,15,9,11,3,7,71.2,126,,,
JAP-01-0009-01-01,JAP-01-0009-01,Back,Blue,72,498,369,352,513,318,161,340,150,359,342,518,381,191,322,330,191,570,421,6326,5,4,4,5,4,3,4,3,4,4,5,4,3,4,4,3,5,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-01-02,JAP-01-0009-01,Regular,White,72,478,344,335,493,292,136,313,133,337,328,492,356,171,312,305,173,547,398,5943,5,4,4,5,4,3,4,3,4,4,5,4,3,4,4,3,5,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-01-03,JAP-01-0009-01,Front,Red,72,450,296,311,466,268,112,284,109,321,306,469,335,153,290,282,154,480,380,5466,5,4,4,5,4,3,4,3,4,4,5,4,3,4,4,3,5,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-02-01,JAP-01-0009-02,Back,Blue,72,494,326,361,487,189,339,330,191,317,502,490,341,186,328,394,345,208,279,6107,5,4,4,5,3,4,4,3,4,5,5,4,3,4,4,4,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-02-02,JAP-01-0009-02,Regular,White,72,476,295,339,472,164,323,306,175,293,478,471,317,164,281,361,328,186,257,5686,5,4,4,5,3,4,4,3,4,5,5,4,3,4,4,4,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-02-03,JAP-01-0009-02,Front,Red,72,426,234,306,438,121,301,295,153,230,423,421,296,131,268,328,266,164,235,5036,5,4,4,5,3,4,4,3,4,5,5,4,3,4,4,4,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-03-01,JAP-01-0009-03,Back,Blue,72,387,454,202,377,514,372,408,176,563,525,390,372,184,410,361,509,186,427,6817,4,4,3,4,5,4,4,3,5,5,4,4,3,4,4,5,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-03-02,JAP-01-0009-03,Regular,White,72,367,438,175,356,498,350,383,153,531,509,358,339,162,394,337,476,166,410,6402,4,4,3,4,5,4,4,3,5,5,4,4,3,4,4,5,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-03-03,JAP-01-0009-03,Front,Red,72,339,388,148,311,410,328,334,131,444,446,301,290,137,356,295,443,141,330,5572,4,4,3,4,5,4,4,3,5,5,4,4,3,4,4,5,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-04-01,JAP-01-0009-04,Back,Blue,72,514,405,328,208,514,416,394,175,396,394,186,525,405,427,503,381,195,381,6747,5,4,4,3,5,4,4,3,4,4,3,5,4,4,5,4,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-04-02,JAP-01-0009-04,Regular,White,72,488,370,306,175,487,394,378,150,345,367,155,485,380,381,479,355,175,358,6228,5,4,4,3,5,4,4,3,4,4,3,5,4,4,5,4,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
JAP-01-0009-04-03,JAP-01-0009-04,Front,Red,72,409,275,276,106,434,320,359,138,321,276,122,413,343,322,412,299,153,350,5328,5,4,4,3,5,4,4,3,4,4,3,5,4,4,5,4,3,4,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,,,
